id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;ministerio;c_instancia;asistencialegal;psicologia;id_modulo;medida_file
7; 3-2018;2018-12-26;2019-01-03;35-2019;;00:00;;;;;0;26;0;0;30;
7; 2-2019;2018-12-26;2019-01-03;36-2019;;00:00;;;;;0;26;0;0;30;
9; 1-2019;2018-12-31;2019-01-03;37-2019;;00:00;;;;;0;26;0;0;30;
10; 8-2018;2019-01-02;2019-01-03;38-2019;;00:00;;;;;0;26;0;0;30;
10; 12-2019;2019-01-02;2019-01-03;39-2019;;00:00;;;;;0;26;0;0;30;
6; 6-2019;2018-12-30;2019-01-03;0004-2019;;00:00;;;;;0;26;0;0;30;
10; 11-2019;2019-01-02;2019-01-03;40-2019;;00:00;;;;;0;26;0;0;30;
3; 28-2019;2019-01-01;2019-01-03;41-2019;Ha lugar;11:10;2019-01-04;;May-19;2019-01-10;0;28;0;0;30;file_jhn69iwl1546641355.pdf
10; 1-2018;2019-01-01;2019-01-03;42-2019;;00:00;;;;;0;26;0;0;30;
12; 25-2019;2019-01-02;2019-01-03;44-2019;;00:00;;;;;0;26;0;0;30;
12; 1168-2018;2018-11-30;2019-01-03;45-2019;;00:00;;;;;0;26;0;0;30;
3; 33-2019;2019-01-01;2019-01-03;47-2019;No ha lugar;00:00;2019-01-03;Archivo Central;007-2019;2019-01-09;0;28;0;0;30;file_2zaicrqa1547069314.pdf
3; 4058-2018;2018-12-28;2019-01-03;0005-2019;;09:30;2019-01-04;Archivo Central;Informe N° 02-2018;2019-01-10;0;28;0;0;30;file_8ejqi4q71546984262.pdf
9; 17-2019;2019-01-02;2019-01-04;51-2019;;00:00;;;;;0;26;0;0;30;
9; 18-2019;2019-01-02;2019-01-04;52-2019;;00:00;;;;;0;26;0;0;30;
9; 14-2019;2019-01-03;2019-01-04;53-2019;;00:00;;;;;0;26;0;0;30;
1; 4-2019;2018-12-31;2019-01-04;54-2019;;00:00;;;;;0;26;0;0;30;
3; 69-2019;2019-01-02;2019-01-07;56-2019;No ha lugar;00:00;2019-01-07;Archivo Central;Informe N° 02-2018;2019-01-10;0;28;0;0;30;file_12qf37kw1547050528.pdf
3; 43-2018;2019-01-05;2019-01-07;57-2019;Ha lugar;00:00;2019-01-07;Ministerio Público;85-2019;2019-01-14;0;28;0;0;30;file_ezqe9cu31547480755.pdf
3; 40-2019;2019-01-03;2019-01-07;58-2019;Ha lugar;13:30;2019-01-08;;;;0;28;0;0;30;file_ddqh9d191547055271.pdf
3; 29-2019;2019-01-02;2019-01-07;59-2019;Ha lugar;08:50;2019-01-08;;;;0;28;0;0;30;file_flbjlxkj1547055683.pdf
6; 3-2019;2018-12-31;2019-01-03;0006-2019;;00:00;;;;;0;26;0;0;30;
3; 48-2019;2019-01-05;2019-01-07;61-2019;No ha lugar;00:00;2019-01-07;Archivo Central;INFORME N° 07-2019;2019-01-09;0;28;0;0;30;file_ayehmgiu1547056669.pdf
3; 34-2019;2019-01-03;2019-01-07;62-2019;Ha lugar;08:30;2019-01-08;Ministerio Público;66-2019;2019-01-14;0;28;0;0;30;file_h3ls14nt1547058188.pdf
3; 36-2019;2019-01-05;2019-01-07;63-2019;Ha lugar;14:50;2019-01-08;Ministerio Público;94-2019;2019-01-14;0;28;0;0;30;file_we6s2j331547058540.pdf
3; 35-2019;2019-01-04;2019-01-07;64-2019;Ha lugar;10:30;2019-01-08;Ministerio Público;69-2019;2019-01-14;0;28;0;0;30;file_qw2yt2n61547063139.pdf
3; 47-2018;2019-01-06;2019-01-07;66-2019;Ha lugar;10:10;2019-01-08;;;;0;28;0;0;30;file_i8jnh3tw1547064153.pdf
3; 12-2019;2019-01-03;2019-01-07;67-2019;Ha lugar;08:10;2019-01-08;;;;0;28;0;0;30;file_nrs96wg81547065027.pdf
3; 50-2019;2019-01-03;2019-01-07;72-2019;Ha lugar;11:10;2019-01-08;;;;0;28;0;0;30;file_c9cptvfe1547218147.pdf
3; 45-2019;2019-01-06;2019-01-07;73-2019;Ha lugar;11:30;2019-01-08;;;;0;28;0;0;30;file_ydch43d71547071072.pdf
3; 44-2019;2019-01-05;2019-01-07;74-2019;Ha lugar;11:50;2019-01-08;;;;0;28;0;0;30;file_p0g3nghp1547072072.pdf
3; 41-2019;2019-01-05;2019-01-07;76-2019;Ha lugar;10:50;2019-01-08;Ministerio Público;70-2019;2019-01-14;0;28;0;0;30;file_hy4z00uv1547072405.pdf
8; 33-2019;2019-01-03;2019-01-07;79-2019;Ha lugar;00:00;2019-01-08;;;;0;37;0;0;30;file_1gz3nyvo1547047119.pdf
3; 7-2019;2019-01-01;2019-01-03;0008-2019;Ha lugar;15:30;2019-01-03;Ministerio Público;20-2019;2019-01-09;0;28;0;0;30;file_gyr50p5o1546638375.pdf
3; 67-2019;2019-01-01;2019-01-07;80-2019;Ha lugar;16:10;2019-01-08;;;;0;28;0;0;30;file_cfw35lbw1547218490.pdf
8; 34-2019;2019-01-04;2019-01-07;81-2019;Ha lugar;11:00;2019-01-09;;;;0;37;0;0;30;file_qmfwniwl1547132063.pdf
3; 66-2019;2019-01-04;2019-01-07;83-2019;Ha lugar;15:50;2019-01-08;;;;0;28;0;0;30;file_be7hp4361547072880.pdf
3; 57-2019;2019-01-06;2019-01-07;88-2018;Ha lugar;15:10;2019-01-08;;;;0;28;0;0;30;file_sbbibssu1547073156.pdf
