id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;c_instancia;id_modulo
140;2121-2018;2018-10-14;2018-10-17;24094-2018-0-0906-JR-FC-11;Ha lugar;16:21;2018-10-19;;;2018-12-06;50;20
140;7353-2018;2018-10-14;2018-10-17;24095-2018-0-0906-JR-FC-12;Ha lugar;12:44;2018-10-25;;;;51;20
140;2085-2018;2018-10-14;2018-10-17;24096-2018-0-0906-JR-FC-12;Ha lugar;13:04;2018-10-31;;;;51;20
140;7300-2018;2018-10-14;2018-10-17;24097-2018-0-0906-JR-FC-11;Ha lugar;16:09;2018-10-19;;;;50;20
140;2084-2018;2018-10-14;2018-10-17;24098-2018-0-0906-JR-FC-12;Ha lugar;13:28;2018-10-17;;;;51;20
140;7394-2018;2018-10-14;2018-10-17;24099-2018-0-0906-JR-FC-11;Ha lugar;13:29;2018-10-17;;;;50;20
140;1290-2018;2018-10-14;2018-10-17;24100-2018-0-0906-JR-FC-12;Ha lugar;13:37;2018-10-17;;;;51;20
140;-;2018-10-14;2018-10-17;24101-2018-0-0906-JR-FC-11;Ha lugar;16:19;2018-10-24;;;;50;20
140;1295-2018;2018-10-14;2018-10-17;24102-2018-0-0906-JR-FC-12;Ha lugar;13:42;2018-10-17;;;;51;20
140;417-2018;2018-10-14;2018-10-17;24103-2018-0-0906-JR-FC-11;Ha lugar;13:19;2018-10-19;;;;50;20
140;7304-2018;2018-10-14;2018-10-17;24104-2018-0-0906-JR-FC-12;Ha lugar;14:19;2018-10-17;;;;51;20
140;1092-2018;2018-10-14;2018-10-17;24105-2018-0-0906-JR-FC-11;Ha lugar;14:19;2018-10-17;;;;50;20
140;7299-2018;2018-10-14;2018-10-17;24106-2018-0-0906-JR-FC-12;Ha lugar;14:26;2018-10-17;;;;51;20
140;2101-2018;2018-10-14;2018-10-17;24107-2018-0-0906-JR-FC-16;Ha lugar;11:33;2018-10-26;;;;55;20
140;7301-2018;2018-10-14;2018-10-17;24108-2018-0-0906-JR-FC-11;Ha lugar;16:17;2018-10-19;;;;50;20
140;7352-2018;2018-10-14;2018-10-17;24109-2018-0-0906-JR-FC-17;Ha lugar;16:27;2018-10-19;;;2018-12-06;56;20
140;2115-2018;2018-10-14;2018-10-17;24110-2018-0-0906-JR-FC-14;Ha lugar;14:30;2018-10-26;;;;53;20
140;-;2018-10-14;2018-10-17;24111-2018-0-0906-JR-FC-09;Ha lugar;15:00;2018-10-17;;;;48;20
140;-;2018-10-14;2018-10-17;24112-2018-0-0906-JR-FC-10;Ha lugar;12:11;2018-10-22;;;;49;20
140;2108-2018;2018-10-14;2018-10-17;24113-2018-0-0906-JR-FC-15;Ha lugar;10:01;2018-10-22;;;;54;20
140;-;2018-10-14;2018-10-17;24114-2018-0-0906-JR-FC-13;Ha lugar;11:26;2018-11-12;;;;52;20
140;7351-2018;2018-10-14;2018-10-17;24116-2018-0-0906-JR-FC-12;Ha lugar;15:21;2018-10-17;;;;51;20
140;2114-2018;2018-10-14;2018-10-17;24117-2018-0-0906-JR-FC-17;Ha lugar;15:25;2018-10-19;;;;56;20
